ID,ADRESS,CORD
121/101059,"UL. WITA STWOSZA 39-41, 40042, KATOWICE","50.24519, 19.0140402"
121/200135,"UL. POWSTAŃCÓW 27, 41500, CHORZÓW","50.29332640000001, 18.9500675"
121/200281,"UL. ALEKSANDRA FREDRY 22, 40662, KATOWICE","50.2102567, 18.9772023"
121/212170,"UL. HARCERZY WRZEŚNIA 1939 5, 40659, KATOWICE","50.2123188, 18.977575"
121/214171,"UL. DR. WITOLDA ANTESA 11, 43200, PSZCZYNA","49.9731696, 18.9401416"
122/100115,"UL. SZPITALNA 11, 43450, USTROŃ","49.7267944, 18.8222043"
124/100582,"UL. GAMOWSKA 3, 47400, RACIBÓRZ","50.1028151, 18.2050118"
140001217,"LEGNICKA 48/BUD. F, 54202, WROCŁAW","51.116781, 16.9959327"
140001331,"BARANKI 24, 19300, EŁK","53.79372670000001, 22.3396292"
140003755,"POTOKOWA 26/216, 80283, GDAŃSK","54.3623081, 18.5597335"
150000002,"KOŚCIUSZKI 96, 64700, CZARNKÓW","52.89702380000001, 16.5562288"
150000059,"PROMIENISTA 98, 60142, POZNAŃ-GRUNWALD","52.39090059999999, 16.8749137"
70001067,"KONARSKIEGO 13, 05400, OTWOCK","52.12173560000001, 21.2755832"
70001284,"ALEJA DZIECI POLSKICH 20, 04730, WARSZAWA","52.2057637, 21.1926624"
70001790,"LEKARSKA 4, 26610, RADOM","51.4004829, 21.1452194"
100000087,"M. SKŁODOWSKIEJ- CURIE 26, 15950, BIAŁYSTOK","53.1244806, 23.1614073"
100003896,"OGRODNICZKI 51, 15763, BIAŁYSTOK","53.1447767, 23.1247441"
000155,"UL. JANA Z KOLNA 16, 81741, SOPOT","54.43370549999999, 18.567219"
001337,"UL. KILIŃSKIEGO 7/4,6, 78400, SZCZECINEK","53.7128465, 16.6780678"
001520,"UL. 30-GO STYCZNIA 57/58, 83110, TCZEW","54.0919269, 18.7773072"
3102218,"UL. HENRYKA MICHAŁA KAMIEŃSKIEGO 73A, 51124, WROCŁAW","51.1505201, 17.0444346"
3102754,"UL. STAWOWA 12/3, 50018, WROCŁAW","51.1013327, 17.0346395"
3202053,"UL. BOLESŁAWA CHROBREGO 5, 57200, ZĄBKOWICE ŚLĄSKIE","50.5876403, 16.8173063"
3302028,"UL. MARII SKŁODOWSKIEJ-CURIE 66, 59301, LUBIN","51.4086889, 16.1951743"
3401036,"UL. MICHAŁA KLEOFASA OGIŃSKIEGO 6, 58506, JELENIA GÓRA","50.9132789, 15.7638508"
3402039,"UL. BANKOWA 5-7, 58500, JELENIA GÓRA","50.9018303, 15.7369809"
150004658,"OS. JANA III SOBIESKIEGO 103, 60688, POZNAŃ-STARE MIASTO","52.4641613, 16.912808"
150008718,"KIEPURY 12, 64100, LESZNO","51.836721, 16.6013836"
150009221,"LEGNICKA 48/F, 54202, WROCŁAW","51.116781, 16.9959327"
160000665,"M. NIEDZIAŁKOWSKIEGO 4A, 73200, CHOSZCZNO","53.1657936, 15.4134673"
160000725,"WOJSKA POLSKIEGO 27, 73110, STARGARD","53.3431814, 15.0379615"
160002874,"KRZYWA 13, 60118, POZNAŃ","52.3818127, 16.8866929"
160003874,"KOŚCIUSZKI 38, 78400, SZCZECINEK","53.7125356, 16.6785625"
70603563,"PONIATOWSKIEGO 26, 08110, SIEDLCE","52.1771336, 22.2922293"
70603753,"WOJCIECHA GÓRSKIEGO 6/92, 00033, WARSZAWA","52.23436599999999, 21.0156181"
70604328,"WAŁBRZYSKA 46 46, 02739, WARSZAWA","52.1734768, 21.0225887"
70604709,"NOWOGRODZKA 76, 02018, WARSZAWA","52.2248635, 20.9931303"
08R/10037,"UL. WYZWOLENIA 11, 48317, KORFANTÓW","50.4878766, 17.5923502"
08R/10063,"UL. AUGUSTYNA KOŚNEGO 53, 45372, OPOLE","50.6708199, 17.93638"
120001,"UL. ARMII KRAJOWEJ 7, 98200, SIERADZ","51.58202679999999, 18.7104104"
210053,"UL. BAZAROWA 9, 91053, ŁÓDŹ","51.7846009, 19.4484108"
210457,"UL. PŁUGOWA 51/53, 94238, ŁÓDŹ","51.7847087, 19.3927067"
210540,"UL. MARII SKŁODOWSKIEJ-CURIE 6, 95060, BRZEZINY","51.8061583, 19.7547781"
220310,"UL. STEFANA ŻEROMSKIEGO 2, 98300, WIELUŃ","51.2161295, 18.567666"
060/200303,"UL. FRANCUSKA 98A/42, 40507, KATOWICE","50.2412691, 19.027423"
30004940,"ALEJE JANA PAWŁA II 19, 22400, ZAMOŚĆ","50.7130362, 23.2857618"
30005361,"DRA WITOLDA CHODŹKI 10A/401, 20093, LUBLIN","51.2640439, 22.5595848"
30006147,"LEGNICKA 48/BUD.F, 54202, WROCŁAW","51.116781, 16.9959327"
110006,"UL. RZGOWSKA 281/289, 93338, ŁÓDŹ","51.7082302, 19.4825275"
110009,"UL. MILIONOWA 14, 93113, ŁÓDŹ","51.751635, 19.4840112"
20000731,"SZPITALNA 3, 88200, RADZIEJÓW","52.6192404, 18.5178604"
20002787,"MICKIEWICZA 7, 89100, NAKŁO NAD NOTECIĄ","53.1401015, 17.5945599"
20006168,"STORCZYKOWA 8/10, 87100, TORUŃ","53.0409617, 18.585797"
20100047,"FILTROWA 29B, 87100, TORUŃ","53.0324325, 18.6005938"
30000098,"KRASNYSTAWSKA 52, 21010, ŁĘCZNA","51.2906655, 22.8782317"
061/200230,"UL. SKOTNICKA 230A, 30644, KRAKÓW","50.00217929999999, 19.8672261"
061/200330,"AL. 1000-LECIA 13, 32300, OLKUSZ","50.26844269999999, 19.5687766"
061/200720,"UL. LWOWSKA 17/1, 30548, KRAKÓW","50.0454468, 19.9565493"
061/200751,"UL. TYNIECKA 15, 32050, SKAWINA","49.9779584, 19.819187"
063/100008,"UL. WĘGIERSKA 21, 38300, GORLICE","49.6504866, 21.1625248"
065/100012,"UL. KRAKOWSKA 31, 32700, BOCHNIA","49.9664308, 20.4211149"
065/100185,"UL. SZPITALNA 13, 33100, TARNÓW","50.0170045, 20.9947737"
