hospital_code;diag_code;drug_code;patient_count;is_suppressed
3101054;C13.9;5909990894772;5;false
3101054;C13.9;5909990662753;;true
3101054;C13.9;5909990744510;;true
3101054;C13.9;5909991412715;;true
3101054;C13.9;5901549325126;;true
3101054;C13.9;5909990948994;;true
3101054;C14.0;5909990662753;;true
3101054;C14.0;5909990894772;;true
3101054;C14.0;5909990055234;;true
3101054;C14.0;5909990958535;;true
3101054;C14.0;5909991412715;;true
3101054;C14.0;5909990478019;;true
3101054;C14.0;5901549325126;;true
3101054;C14.0;5909990994601;;true
3101054;C14.8;5909990478019;;true
3101054;C14.8;5909991037093;;true
3101054;C14.8;5909990333936;;true
3101054;C14.8;5909990055234;;true
3101054;C14.8;5901549325126;;true
3101054;C14.8;5909990662753;;true
3101054;C15;5909991220518;;true
3101054;C15;5909990478019;;true
3101054;C15;5909990894772;;true
3101054;C15;5909991220501;;true
3101054;C15;5909990055234;;true
3101054;C15;5909991400576;;true
3101054;C15.0;5909991220518;;true
3101054;C15.0;5909991400576;;true
3101054;C15.0;5909990055234;11;false
3101054;C15.0;5909990055197;;true
3101054;C15.0;5909990827381;;true
3101054;C15.0;5909991220501;;true
3101054;C15.0;5909990894772;5;false
3101054;C15.0;5909990948994;;true
3101054;C15.0;5055565731352;;true
3101054;C15.0;5909990851058;;true
3101054;C15.0;5909990662753;;true
3101054;C15.0;5909991412715;;true
3101054;C15.0;5909990872442;;true
3101054;C15.0;5909990958535;;true
3101054;C15.0;5909991037093;;true
3101054;C15.0;5909990648825;;true
3101054;C15.0;5909990478019;6;false
3101054;C15.1;5909991037093;;true
3101054;C15.1;5909990055234;5;false
3101054;C15.1;5909990851058;;true
3101054;C15.1;5909990055197;;true
3101054;C15.1;5909990894772;;true
3101054;C15.1;5055565731352;;true
3101054;C15.1;5909990478019;;true
3101054;C15.1;5909990662753;;true
3101054;C15.1;5909991400576;;true
3101054;C15.1;5909990340330;;true
3101054;C15.3;5909991220518;;true
3101054;C15.3;5909991220501;;true
3101054;C15.3;5909991037093;;true
3101054;C15.3;5909990055234;;true
3101054;C15.3;5909990872442;;true
3101054;C15.3;5909990662753;;true
3101054;C15.4;5909990872442;;true
3101054;C15.4;5909990662753;;true
3101054;C15.4;5909990894772;;true
3101054;C15.4;5909991220501;;true
3101054;C15.4;5909991220518;;true
3101054;C15.4;5055565731352;;true
3101054;C15.4;5909991037093;;true
3101054;C15.4;5909990055234;;true
3101054;C15.4;5909990478019;;true
3101054;C15.5;5909991004736;;true
3101054;C15.5;5902020241720;;true
3101054;C15.5;5902020241737;;true
3101054;C15.5;5909991412715;;true
3101054;C15.5;5909991004699;;true
3101054;C15.5;5901549325126;;true
3101054;C15.5;5909991037093;;true
3101054;C15.5;5909990478019;;true
3101054;C15.5;5909991400576;;true
3101054;C15.5;5055565731352;;true
3101054;C15.5;5909991205898;;true
3101054;C15.5;5909990055234;8;false
3101054;C15.5;5909990055197;;true
3101054;C15.5;5909990894772;;true
3101054;C15.5;5055565748640;;true
3101054;C15.5;5909990827206;;true
3101054;C15.5;5909990827381;;true
3101054;C15.5;5909990851058;;true
3101054;C15.5;5909990648825;;true
3101054;C15.5;5909991220518;;true
3101054;C15.5;5909990958535;;true
3101054;C15.5;5909991220501;;true
3101054;C15.5;5909990662753;;true
3101054;C15.5;5909990796168;;true
3101054;C15.8;5902020241737;;true
3101054;C15.8;5901571320649;;true
3101054;C15.8;5901571320625;;true
3101054;C15.8;5909991205898;;true
3101054;C15.8;5909990055234;;true
3101054;C15.8;5909991037093;;true
3101054;C15.8;5909991037086;;true
3101054;C15.8;5909990478019;;true
3101054;C15.8;5055565731352;;true
3101054;C15.8;5909991412715;;true
3101054;C15.8;5909990894772;;true
3101054;C15.8;5909990958535;;true
3101054;C15.8;5909991400576;;true
3101054;C15.9;5909991412715;;true
3101054;C15.9;5909991220501;;true
3101054;C15.9;5909990894772;;true
3101054;C15.9;5909990055197;;true
3101054;C15.9;5909990958535;;true
3101054;C15.9;5909990648825;;true
3101054;C15.9;5909990948994;;true
3101054;C15.9;5909991037086;;true
3101054;C15.9;5909990994601;;true
3101054;C15.9;5909991004699;;true
3101054;C15.9;5909990478019;6;false
3101054;C15.9;5909990055234;14;false
3101054;C15.9;5909991400576;;true
3101054;C15.9;5909991037093;8;false
3101054;C15.9;5909990662753;9;false
3101054;C15.9;5909990827381;;true
3101054;C15.9;5909991352547;;true
3101054;C15.9;5909991004736;;true
3101054;C15.9;5909991220518;;true
3101054;C16;5909990478019;5;false
3101054;C16;5909991220501;;true
3101054;C16;5909990055234;6;false
3101054;C16;5909991220518;;true
3101054;C16;5909990662753;;true
3101054;C16;5909990827206;;true
3101054;C16;5909990648825;5;false
3101054;C16;5909990994601;;true
3101054;C16;5909990827381;;true
3101054;C16.0;5055565731352;5;false
3101054;C16.0;5909990648825;33;false
3101054;C16.0;5909991352547;;true
3101054;C16.0;5909991104337;;true
3101054;C16.0;5055565775943;;true
3101054;C16.0;5909990827381;24;false
3101054;C16.0;5909990478019;36;false
3101054;C16.0;5909990340330;;true
3101054;C16.0;5055565748640;;true
3101054;C16.0;5909991412715;;true
3101054;C16.0;5909991037086;;true
3101054;C16.0;5909991004699;;true
3101054;C16.0;5909990827206;7;false
3101054;C16.0;5055565707531;;true
3101054;C16.0;5909991400576;;true
3101054;C16.0;5902020241737;5;false
3101054;C16.0;5901571320625;;true
